Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,Average
AUT,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51486.58,50114.40,48588.66,48777.33
BEL,44184.95,47410.57,44670.56,46757.95,47764.07,41008.30,42012.62,44198.48,47549.21,46599.11,45189.37,45213.20
BGR,6853.00,7849.17,7432.48,7681.93,7901.79,7074.68,7569.48,8366.29,9446.70,9879.27,10079.20,8194.00
CYP,31023.64,32396.39,28912.16,27729.19,27163.33,23408.34,24605.92,26608.88,29334.11,29206.08,27681.57,28006.33
CZE,19960.07,21871.27,19870.80,20133.17,19890.92,17829.70,18575.23,20636.20,23419.74,23660.15,22933.50,20798.25
DEU,41572.46,46705.90,43855.85,46298.92,48023.87,41103.26,42136.12,44652.59,47973.61,46794.90,46252.69,45033.65
DNK,58041.40,61753.65,58507.51,61191.19,62548.98,53254.86,54664.00,57610.10,61591.93,59775.74,61063.32,59091.15
ESP,30532.48,31677.90,28322.81,29067.81,29500.79,25742.37,26523.35,28170.17,30364.58,29554.49,27056.42,28773.92
EST,14663.04,17487.80,17403.21,19056.00,20261.07,17402.04,18295.34,20437.77,23063.56,23397.88,23054.36,19502.01
FIN,46505.30,51148.93,47708.06,49892.22,50327.24,42801.91,43814.03,46412.14,49988.91,48628.64,49160.84,47853.47
FRA,40677.99,43848.11,40872.36,42605.04,43068.55,36652.92,37062.53,38781.05,41592.80,40578.64,39037.12,40434.28
GRC,26716.65,25483.88,21913.00,21787.79,21616.71,18083.88,17923.97,18582.09,19756.99,19133.76,17647.23,20785.99
HRV,14067.52,14757.18,13401.66,13837.73,13762.37,11933.38,12527.74,13629.29,15227.56,15311.77,14132.49,13871.70
HUN,13223.08,14240.26,12989.18,13719.95,14298.83,12720.71,13107.38,14623.70,16427.37,16735.66,16075.97,14378.37
IRL,48655.37,52177.11,49026.02,51533.03,55599.85,62012.48,62861.64,69774.03,79107.60,80886.62,85422.54,63368.75
ITA,36035.64,38649.64,35051.52,35560.08,35565.72,30242.39,30960.73,32406.72,34622.17,33673.48,31834.97,34054.82
LTU,11987.51,14376.95,14367.71,15729.65,16551.02,14263.96,15008.31,16885.41,19186.18,19575.77,20232.30,16196.80
LUX,110885.99,119025.06,112584.68,120000.14,123678.70,105462.01,106899.29,110193.21,117254.74,113218.71,116356.16,114141.70
LVA,11420.99,13338.96,13847.34,15007.49,15742.39,13786.46,14331.75,15695.12,17865.03,17926.84,17703.95,15151.48
MLT,21799.17,23155.55,22527.64,24771.08,26754.27,24921.60,25624.54,28857.02,31573.12,31185.65,28946.46,26374.19
NLD,50999.75,54230.31,50070.14,52198.90,52900.54,45193.40,46039.11,48675.22,53044.53,52476.27,52396.03,50747.65
POL,12613.01,13879.56,13097.27,13696.47,14271.31,12578.50,12447.44,13864.68,15468.48,15732.20,15742.45,13944.67
PRT,22520.64,23217.30,20563.71,21653.20,22103.70,19250.11,19991.97,21490.43,23562.55,23330.82,22194.57,21807.18
ROU,8214.08,9099.22,8507.10,9547.85,10043.68,8969.15,9548.59,10807.01,12398.98,12899.35,12956.57,10271.96
SVK,16841.77,18430.13,17429.83,18208.42,18655.79,16342.22,16512.29,17538.05,19389.98,19303.55,19266.51,17992.59
SVN,23532.48,25128.02,22641.81,23503.28,24247.17,20890.17,21678.36,23514.03,26116.86,25942.95,25489.50,23880.42
SWE,52869.04,60755.76,58037.82,61126.94,60020.36,51545.48,51965.16,53791.51,54589.06,51939.43,52300.21,55358.25
