Country,YR2000,YR2003,YR2006,YR2009,YR2012,YR2015,YR2018,YR2021,Average
AUT,6.83,6.98,6.94,7.45,7.43,7.51,7.49,,7.23
BEL,5.96,6.79,6.81,7.88,8.04,7.92,8.27,,7.38
BGR,3.47,4.37,3.63,3.55,3.85,4.14,4.23,,3.89
CYP,2.18,2.48,2.34,2.75,3.01,2.85,2.89,,2.64
CZE,5.06,5.71,5.27,6.01,5.83,5.92,6.22,,5.72
DEU,7.73,8.05,7.66,8.50,8.19,8.61,8.88,,8.23
DNK,6.74,7.47,7.69,9.02,8.60,8.61,8.45,,8.08
ESP,4.92,5.38,5.64,6.84,6.60,6.51,6.32,,6.03
EST,3.92,3.70,3.56,5.03,4.41,4.78,4.92,,4.33
FIN,5.37,6.14,6.52,7.24,7.65,7.58,7.10,,6.80
FRA,6.97,7.32,7.40,7.98,7.94,8.28,8.49,,7.77
GRC,4.46,5.06,5.09,6.43,5.68,4.59,4.11,,5.06
HRV,6.56,5.17,5.91,6.77,6.43,5.64,5.65,,6.02
HUN,4.67,5.68,5.48,4.92,4.82,4.65,4.55,,4.97
IRL,4.58,5.52,5.85,8.10,7.64,5.27,5.09,,6.01
ITA,5.50,5.90,6.56,7.01,6.66,6.59,6.41,,6.38
LTU,4.17,4.60,3.65,5.29,4.18,4.29,4.31,,4.36
LUX,4.91,5.85,5.62,6.36,4.67,4.47,4.49,,5.20
LVA,2.76,2.74,3.52,3.65,3.25,3.32,3.70,,3.28
MLT,4.72,5.51,6.03,5.14,5.50,5.41,5.59,,5.42
NLD,5.32,6.35,6.37,6.66,7.04,6.82,6.60,,6.45
POL,3.61,4.08,4.00,4.73,4.35,4.43,4.50,,4.24
PRT,6.00,6.44,5.93,6.46,5.92,5.75,5.76,,6.04
ROU,3.34,4.46,4.02,4.15,3.64,3.86,4.43,,3.99
SVK,4.64,4.74,4.77,5.69,5.37,5.35,5.31,,5.12
SVN,5.57,5.83,5.61,6.15,6.17,6.06,6.00,,5.91
SWE,6.19,6.91,6.63,7.24,9.04,9.07,9.28,,7.77
