Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,Average
AUT,0.69,0.89,0.93,0.72,0.52,0.53,0.62,0.79,0.97,0.86,0.72,0.75
BEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BGR,1.99,1.73,1.92,1.50,1.55,1.75,1.10,1.45,1.30,1.19,0.99,1.50
CYP,0.72,0.80,1.94,1.05,0.95,1.29,1.11,0.59,1.26,1.25,1.24,1.11
CZE,0.98,0.81,0.99,0.85,0.76,0.83,0.61,0.62,0.00,0.91,0.72,0.81
DEU,0.98,0.91,0.81,0.84,0.88,0.83,1.17,0.98,0.95,0.75,0.93,0.91
DNK,0.76,0.82,0.84,0.85,1.31,1.09,0.98,1.24,1.01,1.14,0.95,1.00
ESP,0.85,0.82,0.77,0.64,0.69,0.65,0.63,0.66,0.62,0.71,0.64,0.70
EST,5.25,4.90,4.76,3.94,3.11,3.42,2.51,2.20,2.12,1.73,3.17,3.37
FIN,2.22,2.04,1.63,1.64,1.61,1.50,1.35,1.22,1.56,1.59,1.64,1.63
FRA,1.27,1.35,1.23,1.22,1.23,1.57,1.37,1.25,1.20,1.32,1.35,1.31
GRC,1.62,1.70,1.54,1.42,1.00,0.87,0.79,0.81,0.94,0.74,0.75,1.11
HRV,1.43,1.14,1.19,1.08,0.85,0.87,1.05,1.10,0.58,0.80,0.97,1.00
HUN,1.39,1.47,1.26,1.57,1.49,2.26,2.07,1.64,0.89,0.66,0.83,1.41
IRL,1.21,0.91,1.13,1.10,0.00,0.67,0.72,0.82,0.81,0.70,0.69,0.88
ITA,0.89,0.93,0.89,0.83,0.79,0.77,0.67,0.62,0.59,0.52,0.47,0.72
LTU,7.01,6.84,6.63,6.58,5.35,5.87,5.29,3.51,3.28,3.41,3.71,5.23
LUX,1.97,0.77,0.00,0.18,0.72,0.88,0.86,0.34,0.50,0.65,0.16,0.64
LVA,0.00,0.00,3.38,2.45,3.17,3.35,3.49,4.15,4.36,3.93,3.71,3.56
MLT,0.97,0.72,2.84,1.64,1.39,0.92,1.15,2.06,1.59,1.14,1.59,1.45
NLD,0.86,0.85,0.86,0.74,0.73,0.61,0.55,0.78,0.59,0.64,0.62,0.71
POL,1.00,1.10,1.07,0.80,0.75,0.78,0.68,0.76,0.73,0.67,0.70,0.82
PRT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.91,0.89
ROU,1.30,1.01,1.05,1.08,1.62,1.70,1.55,1.30,1.28,1.26,1.46,1.33
SVK,1.52,1.61,1.16,1.31,1.20,0.81,1.05,1.36,1.14,1.39,1.15,1.24
SVN,0.73,0.78,0.68,0.58,0.77,0.97,0.48,0.92,0.48,0.48,0.53,0.67
SWE,0.97,0.86,0.71,0.90,0.90,1.15,1.08,1.14,1.08,1.11,1.23,1.01
