Country,Average_GDP,Average_health,Average_unemploy,Average_violence
DEU,45033.65,8.57,4.66,0.91
DNK,59091.15,8.52,6.5,1
LUX,114141.7,4.75,5.68,0.64
SWE,55358.25,8.89,7.55,1.01
BEL,45213.2,8.09,7.29,0
NLD,50747.65,6.84,5.38,0.71
AUT,48777.33,6.78,5.19,0.75
FRA,40434.28,8.22,9.32,1.31
FIN,47853.47,7.41,8.12,1.63
IRL,63368.75,6.33,10.2,0.88
CZE,20798.25,6.02,4.79,0.81
SVN,23880.42,6.09,7.46,0.67
ITA,34054.82,6.61,10.61,0.72
MLT,26374.19,5.48,5.18,1.45
PRT,21807.18,5.93,11.06,0.89
POL,13944.67,4.49,7.05,0.82
HUN,14378.37,4.71,7.14,1.41
SVK,17992.59,5.43,10.69,1.24
HRV,13871.7,5.89,12.62,1
ROU,10271.96,4.07,5.96,1.33
ESP,28773.92,6.5,20.03,0.7
BGR,8194,4.1,8.69,1.5
CYP,28006.33,3.04,10.89,1.11
EST,19502.01,4.69,8.27,3.37
GRC,20785.99,4.9,21.07,1.11
LVA,15151.48,3.48,11.23,3.56
LTU,16196.8,4.35,10.36,5.23
